Species,ortho_group,experiment,Protein.IDs,plot_label,specific.Gene.names,p.value,log2.foldchange,enriched,additional_protein_name,previous annotation,repair,unique
C. elegans,OG6_107684,abasic,O17038,cele_col-64,col-143,0.022091216,1.799363894,TRUE,col-143,unique,no,unique
C. elegans,OG6_116444,abasic,Q20778,cele_col-158,dpy-17,0.005165985,1.195121113,TRUE,dpy-17,unique,no,unique
C. elegans,OG6_101139,abasic,G5EBR7;Q564V5,hsap_APEX1,exo-3,0.000135777,1.390643867,TRUE,exo-3,repair,repair,not unique
C. elegans,OG6_545555,abasic,Q19138,cele_CELE_F07A5.2,CELE_F07A5.2,0.024277361,1.243979145,TRUE,F07A5.2,unique,no,unique
C. elegans,OG6_155918,abasic,Q19182,cele_CELE_F07H5.8,CELE_F07H5.8,0.037302343,1.136719339,TRUE,F07H5.8,unique,no,unique
C. elegans,OG6_100119,abasic,Q27532,hsap_H3-3A,his-74,0.015701313,1.087514339,TRUE,his-74,no,no,not unique
C. elegans,OG6_106861,abasic,Q21275,hsap_LIG3,CELE_K07C5.3,4.28E-07,4.936465912,TRUE,K07C5.3,repair,repair,not unique
C. elegans,OG6_101373,abasic,G2HK04;Q9U2C7;A7DTF2;Q95Q23,hsap_OSBP,obr-1,0.002672518,4.591361099,TRUE,obr-1,no,no,not unique
C. elegans,OG6_543235,abasic,Q09525,cele_parp-2,parp-2,0.001831161,3.246661768,TRUE,parp-2,repair,repair,unique
C. elegans,OG6_545759,abasic,O44145,cele_perm-2,perm-2,0.033484439,1.41747951,TRUE,perm-2,unique,no,unique
C. elegans,OG6_115263,abasic,Q9GYJ3,cele_phat-8,phat-1,0.02077964,1.084480982,TRUE,phat-1,unique,no,unique
C. elegans,OG6_115263,abasic,Q9GYJ2,cele_phat-8,phat-2,0.022199148,1.0175702,TRUE,phat-2,unique,no,unique
C. elegans,OG6_544763,abasic,Q7YWV0,cele_CELE_T01E8.8,CELE_T01E8.8,0.039540994,1.068663316,TRUE,T01E8.8,unique,no,unique
C. elegans,OG6_140381,abasic,Q9TYP8,cele_C16A11.3,CELE_Y14H12B.2,0.028146031,1.095513113,TRUE,Y14H12B.2,unique,no,unique
C. elegans,OG6_199550,abasic,Q9XWU9,cele_CELE_ZC373.2,CELE_Y37D8A.19,0.012581452,1.072694125,TRUE,Y37D8A.19,unique,no,unique
C. elegans,OG6_545389,RNAbase,Q93289,cele_C27D8.2,C27D8.2,0.026355545,1.4164934,TRUE,C27D8.2,unique,no,unique
C. elegans,OG6_101139,RNAbase,G5EBR7;Q564V5,hsap_APEX1,exo-3,0.003832169,1.054651978,TRUE,exo-3,repair,repair,not unique
C. elegans,OG6_545555,RNAbase,Q19138,cele_CELE_F07A5.2,CELE_F07A5.2,0.018374328,1.315932371,TRUE,F07A5.2,unique,no,unique
C. elegans,OG6_128438,RNAbase,G5EDQ2,cele_hmg-12,hmg-12,0.00021227,2.162985514,TRUE,hmg-12,no,no,not unique
C. elegans,OG6_544763,RNAbase,Q7YWV0,cele_CELE_T01E8.8,CELE_T01E8.8,0.017475433,1.02689916,TRUE,T01E8.8,unique,no,unique
E. coli,OG6_100453,8oxoG,P00914,hsap_CRY1,phrB,1.72E-06,3.029887847,TRUE,phrB,repair,repair,not unique
E. coli,OG6_100453,abasic,P00914,hsap_CRY1,phrB,2.52E-05,2.748128795,TRUE,phrB,repair,repair,not unique
E. coli,OG6_101291,abasic,P77399,hsap_HADHA,fadJ,0.000700992,1.372759153,TRUE,fadJ,no,no,not unique
E. coli,OG6_102506,8oxoG,P17802,hsap_MUTYH,mutY,1.86E-08,6.284627283,TRUE,mutY,repair,repair,not unique
E. coli,OG6_101669,abasic,P00582,hsap_POLN,polA,0.001332306,1.828929323,TRUE,polA,repair,repair,not unique
E. coli,OG6_101669,RNAbase,P00582,hsap_POLN,polA,0.007108881,1.301078801,TRUE,polA,repair,repair,not unique
E. coli,OG6_104339,abasic,P0A6C1,scer_APN1,nfo,1.93E-07,4.578775542,TRUE,nfo,repair,repair,not unique
E. coli,OG6_104339,RNAbase,P0A6C1,scer_APN1,nfo,0.000521982,2.939089327,TRUE,nfo,repair,repair,not unique
H. salinarum,OG6_111161,8oxoG,O54596,ecol_cydB,cydB,0.030261949,1.720739238,TRUE,cydB,no,no,not unique
H. salinarum,OG6_501343,abasic,Q9HMK8,halo_VNG_2498H,VNG_2498H,0.037017946,1.169887957,TRUE,VNG_2498H,unique,no,unique
H. salinarum,OG6_501589,8oxoG,Q9HMI5,halo_VNG_2525H,VNG_2525H,0.000733554,1.455009081,TRUE,VNG_2525H,unique,no,unique
H. salinarum,OG6_102483,abasic,Q9HQ94,hsap_OGG1,ogg,2.62E-06,3.477082778,TRUE,ogg,repair,repair,not unique
H. salinarum,OG6_102483,RNAbase,Q9HQ94,hsap_OGG1,ogg,5.21E-05,3.288688246,TRUE,ogg,repair,repair,not unique
H. sapiens (HEK293),OG6_104805,8oxoG,ENSG00000125952,hsap_MAX,MAX,0.02095806,1.524243276,TRUE,MAX,no,no,not unique
H. sapiens (HEK293),OG6_102506,8oxoG,ENSG00000132781;ENSG00000288208,hsap_MUTYH,MUTYH;,0.000101069,3.785686614,TRUE,MUTYH,repair,repair,not unique
H. sapiens (HEK293),OG6_100563,8oxoG,ENSG00000065057,hsap_NTHL1,NTHL1,0.004566831,1.378792819,TRUE,NTHL1,repair,repair,not unique
H. sapiens (HEK293),OG6_101834,8oxoG,ENSG00000138758,hsap_SEPTIN6,SEPTIN11,0.018110987,1.156395255,TRUE,SEPTIN11,no,no,not unique
H. sapiens (HEK293),OG6_103324,abasic,ENSG00000137074,hsap_APTX,APTX,0.007888966,1.699142679,TRUE,APTX,repair,repair,not unique
H. sapiens (HEK293),OG6_104839,abasic,ENSG00000184220,hsap_CMSS1,CMSS1,0.004285141,1.363199841,TRUE,CMSS1,no,no,not unique
H. sapiens (HEK293),OG6_102651,abasic,ENSG00000167986,hsap_DDB1,DDB1,0.001722235,1.096280892,TRUE,DDB1,repair,repair,not unique
H. sapiens (HEK293),OG6_109982,abasic,ENSG00000134574,hsap_DDB2,DDB2,0.001358678,1.444134554,TRUE,DDB2,repair,repair,not unique
H. sapiens (HEK293),OG6_103669,abasic,ENSG00000138246,hsap_DNAJC13,DNAJC13,5.70E-05,2.88964443,TRUE,DNAJC13,no,no,not unique
H. sapiens (HEK293),OG6_106861,abasic,ENSG00000005156,hsap_LIG3,LIG3,0.04294599,1.174923169,TRUE,LIG3,repair,repair,not unique
H. sapiens (HEK293),OG6_102758,abasic,ENSG00000173145,hsap_NOC3L,NOC3L,0.016626241,1.155802048,TRUE,NOC3L,no,no,not unique
H. sapiens (HEK293),OG6_101236,abasic,ENSG00000129484,hsap_PARP2,PARP2,0.000204131,2.787885831,TRUE,PARP2,repair,repair,not unique
H. sapiens (HEK293),OG6_102580,abasic,ENSG00000039650,hsap_PNKP,PNKP,0.02046796,1.09293589,TRUE,PNKP,repair,repair,not unique
H. sapiens (HEK293),OG6_101198,abasic,ENSG00000070501,hsap_POLB,POLB,0.000311541,2.420567363,TRUE,POLB,repair,repair,not unique
H. sapiens (HEK293),OG6_106943,abasic,ENSG00000165392,hsap_WRN,WRN,4.17E-05,4.28903823,TRUE,WRN,repair,repair,not unique
H. sapiens (HEK293),OG6_102113,abasic,ENSG00000154767,hsap_XPC,XPC,0.036900687,1.349840144,TRUE,XPC,repair,repair,not unique
H. sapiens (HEK293),OG6_106425,abasic,ENSG00000073050,hsap_XRCC1,XRCC1,0.047366066,1.109790912,TRUE,XRCC1,repair,repair,unique
H. sapiens (HEK293),OG6_109686,RNAbase,ENSG00000153207,hsap_AHCTF1,AHCTF1,0.006375775,1.695244529,TRUE,AHCTF1,no,no,not unique
H. sapiens (HEK293),OG6_207642,RNAbase,ENSG00000244509,hsap_APOBEC3C,APOBEC3C,0.030842143,1.185910089,TRUE,APOBEC3C,unique,no,unique
H. sapiens (HEK293),OG6_111997,RNAbase,ENSG00000183337,hsap_BCOR,BCOR,0.007062195,1.165821322,TRUE,BCOR,unique,no,unique
H. sapiens (HEK293),OG6_121516,RNAbase,ENSG00000085185,hsap_BCORL1,BCORL1,0.006732895,2.556743653,TRUE,BCORL1,unique,no,unique
H. sapiens (HEK293),OG6_102102,RNAbase,ENSG00000156983,hsap_BRPF3,BRPF1,0.029590004,1.567705997,TRUE,BRPF1,no,no,not unique
H. sapiens (HEK293),OG6_105787,RNAbase,ENSG00000166582,hsap_CENPV,CENPV,0.000473569,2.633198468,TRUE,CENPV,no,no,not unique
H. sapiens (HEK293),OG6_102222,RNAbase,ENSG00000153922,hsap_CHD1,CHD1,0.010220624,1.560418074,TRUE,CHD1,no,no,not unique
H. sapiens (HEK293),OG6_102222,RNAbase,ENSG00000173575,hsap_CHD1,CHD2,0.000478917,2.967445955,TRUE,CHD2,no,no,not unique
H. sapiens (HEK293),OG6_107263,RNAbase,ENSG00000102974,hsap_CTCF,CTCF,0.034372161,1.006031898,TRUE,CTCF,unique,no,unique
H. sapiens (HEK293),OG6_100977,RNAbase,ENSG00000140632,hsap_GLYR1,GLYR1,0.045457227,1.170490247,TRUE,GLYR1,no,no,not unique
H. sapiens (HEK293),OG6_107563,RNAbase,ENSG00000083168,hsap_KAT6A,KAT6A,0.004625895,2.710738893,TRUE,KAT6A,unique,no,unique
H. sapiens (HEK293),OG6_103057,RNAbase,ENSG00000129347,hsap_KRI1,KRI1,0.030831975,1.004496599,TRUE,KRI1,no,no,not unique
H. sapiens (HEK293),OG6_102159,RNAbase,ENSG00000111615,hsap_KRR1,KRR1,0.01124404,1.190649495,TRUE,KRR1,no,no,not unique
H. sapiens (HEK293),OG6_104748,RNAbase,ENSG00000103152,hsap_MPG,MPG,0.002705388,2.149922912,TRUE,MPG,repair,repair,not unique
H. sapiens (HEK293),OG6_192932,RNAbase,ENSG00000284024,hsap_,,0.000204359,3.47605182,TRUE,MSANTD7,unique,no,unique
H. sapiens (HEK293),OG6_102224,RNAbase,ENSG00000132603,hsap_NIP7,NIP7,0.040168351,1.336154103,TRUE,NIP7,no,no,not unique
H. sapiens (HEK293),OG6_102758,RNAbase,ENSG00000173145,hsap_NOC3L,NOC3L,0.016072313,1.116399628,TRUE,NOC3L,no,no,not unique
H. sapiens (HEK293),OG6_102558,RNAbase,ENSG00000109685,hsap_NSD2,NSD2,0.001715998,1.753860776,TRUE,NSD2,repair,repair,unique
H. sapiens (HEK293),OG6_103030,RNAbase,ENSG00000155561,hsap_NUP205,NUP205,0.003149428,1.200886871,TRUE,NUP205,no,no,not unique
H. sapiens (HEK293),OG6_112776,RNAbase,ENSG00000115289,hsap_PCGF1,PCGF1,0.000509813,1.520169022,TRUE,PCGF1,unique,no,unique
H. sapiens (HEK293),OG6_107540,RNAbase,ENSG00000164093,hsap_PITX2,PITX2,4.64E-06,4.905195802,TRUE,PITX2,no,no,not unique
H. sapiens (HEK293),OG6_105342,RNAbase,ENSG00000121481,hsap_RNF2,RNF2,0.000921132,1.22452491,TRUE,RNF2,no,no,not unique
H. sapiens (HEK293),OG6_102997,RNAbase,ENSG00000113387,hsap_SUB1,SUB1,0.000997235,1.309249406,TRUE,SUB1,no,no,not unique
H. sapiens (HEK293),OG6_102181,RNAbase,ENSG00000153827,hsap_TRIP12,TRIP12,0.001798035,1.303513498,TRUE,TRIP12,repair,repair,not unique
H. sapiens (HEK293),OG6_119273,RNAbase,ENSG00000196700,hsap_ZNF512B,ZNF512B,0.001471059,2.306789821,TRUE,ZNF512B,unique,no,unique
H. sapiens (HeLa),OG6_104620,8oxoG,ENSG00000140525,hsap_FANCI,FANCI,0.042350866,1.026378796,TRUE,FANCI,repair,repair,not unique
H. sapiens (HeLa),OG6_103097,8oxoG,ENSG00000073712,hsap_FERMT2,FERMT2,0.044651814,1.609152475,TRUE,FERMT2,no,no,not unique
H. sapiens (HeLa),OG6_100442,8oxoG,ENSG00000025800,hsap_KPNA6,KPNA6,0.001362195,1.567864873,TRUE,KPNA6,no,no,not unique
H. sapiens (HeLa),OG6_103056,8oxoG,ENSG00000101608;ENSG00000118680;ENSG00000101335,hsap_MYL9,MYL12A;MYL12B;MYL9,1.26E-05,1.450452365,TRUE,MYL12A,no,no,not unique
H. sapiens (HeLa),OG6_116073,8oxoG,ENSG00000160877,hsap_NACC1,NACC1,0.000283014,1.359036687,TRUE,NACC1,unique,no,unique
H. sapiens (HeLa),OG6_102016,8oxoG,ENSG00000113593,hsap_PPWD1,PPWD1,0.036009324,1.040695043,TRUE,PPWD1,no,no,not unique
H. sapiens (HeLa),OG6_105549,8oxoG,ENSG00000087302,hsap_RTRAF,RTRAF,0.023869383,1.369257113,TRUE,RTRAF,no,no,not unique
H. sapiens (HeLa),OG6_103324,abasic,ENSG00000137074,hsap_APTX,APTX,1.77E-05,1.630207529,TRUE,APTX,repair,repair,not unique
H. sapiens (HeLa),OG6_104623;OG6_104912,abasic,ENSG00000167283;ENSG00000285827,hsap_ATP5MG,ATP5MG;,2.71E-07,2.638897343,TRUE,ATP5MG,no,no,not unique
H. sapiens (HeLa),OG6_119070,abasic,ENSG00000178409,hsap_BEND3,BEND3,0.030119218,2.540200618,TRUE,BEND3,unique,no,unique
H. sapiens (HeLa),OG6_100352,abasic,ENSG00000197299,hsap_RECQL,BLM,0.006082793,1.36105045,TRUE,BLM,repair,repair,not unique
H. sapiens (HeLa),OG6_102525,abasic,ENSG00000285301;ENSG00000261236,hsap_BOP1,BOP1,0.000494477,1.088818062,TRUE,BOP1,no,no,not unique
H. sapiens (HeLa),OG6_102655,abasic,ENSG00000119723,hsap_COQ6,COQ6,0.004544637,2.864119809,TRUE,COQ6,no,no,not unique
H. sapiens (HeLa),OG6_103669,abasic,ENSG00000138246,hsap_DNAJC13,DNAJC13,0.000104227,8.122556542,TRUE,DNAJC13,no,no,not unique
H. sapiens (HeLa),OG6_102463,abasic,ENSG00000107371,hsap_EXOSC3,EXOSC3,4.90E-05,1.840921265,TRUE,EXOSC3,no,no,not unique
H. sapiens (HeLa),OG6_111904,abasic,ENSG00000167491,hsap_GATAD2A,GATAD2A,5.77E-05,1.211238992,TRUE,GATAD2A,no,no,not unique
H. sapiens (HeLa),OG6_102542,abasic,ENSG00000169813,hsap_HNRNPH2,HNRNPF,0.009420908,1.039979511,TRUE,HNRNPF,no,no,not unique
H. sapiens (HeLa),OG6_102542,abasic,ENSG00000126945,hsap_HNRNPH2,HNRNPH2,0.01802924,1.174913023,TRUE,HNRNPH2,no,no,not unique
H. sapiens (HeLa),OG6_106869,abasic,ENSG00000056050,hsap_HPF1,HPF1,6.35E-07,2.993247891,TRUE,HPF1,repair,repair,not unique
H. sapiens (HeLa),OG6_113903,abasic,ENSG00000143319,hsap_ISG20L2,ISG20L2,0.028105057,1.189025486,TRUE,ISG20L2,unique,no,unique
H. sapiens (HeLa),OG6_106861,abasic,ENSG00000005156,hsap_LIG3,LIG3,1.03E-05,1.096681456,TRUE,LIG3,repair,repair,not unique
H. sapiens (HeLa),OG6_102229,abasic,ENSG00000053372,hsap_MRTO4,MRTO4,0.000149085,1.948644078,TRUE,MRTO4,no,no,not unique
H. sapiens (HeLa),OG6_103056,abasic,ENSG00000101608;ENSG00000118680;ENSG00000101335,hsap_MYL9,MYL12A;MYL12B;MYL9,0.000376359,1.408035764,TRUE,MYL12A,no,no,not unique
H. sapiens (HeLa),OG6_100833,abasic,ENSG00000187109,hsap_NAP1L1,NAP1L1,0.043085932,1.032423176,TRUE,NAP1L1,no,no,not unique
H. sapiens (HeLa),OG6_102224,abasic,ENSG00000132603,hsap_NIP7,NIP7,0.008216197,1.105237385,TRUE,NIP7,no,no,not unique
H. sapiens (HeLa),OG6_103655,abasic,ENSG00000105373,hsap_NOP53,NOP53,0.001130256,1.684605221,TRUE,NOP53,repair,repair,not unique
H. sapiens (HeLa),OG6_101236,abasic,ENSG00000143799,hsap_PARP2,PARP1,2.69E-05,1.256265224,TRUE,PARP1,repair,repair,not unique
H. sapiens (HeLa),OG6_101198,abasic,ENSG00000070501,hsap_POLB,POLB,0.000251765,1.464440036,TRUE,POLB,repair,repair,not unique
H. sapiens (HeLa),OG6_105724,abasic,ENSG00000138398,hsap_PPIG,PPIG,0.000317156,1.343068387,TRUE,PPIG,no,no,not unique
H. sapiens (HeLa),OG6_105535,abasic,ENSG00000170468,hsap_RIOX1,RIOX1,0.04655237,1.287115544,TRUE,RIOX1,no,no,not unique
H. sapiens (HeLa),OG6_100663,abasic,ENSG00000122026,hsap_RPL21,RPL21,7.22E-07,3.486178584,TRUE,RPL21,no,no,not unique
H. sapiens (HeLa),OG6_101037,abasic,ENSG00000137818,hsap_RPLP1,RPLP1,0.005048389,1.408884304,TRUE,RPLP1,no,no,not unique
H. sapiens (HeLa),OG6_100814,abasic,ENSG00000197728,hsap_RPS26,RPS26,0.026588574,3.166243011,TRUE,RPS26,no,no,not unique
H. sapiens (HeLa),OG6_135164,abasic,ENSG00000143546,hsap_S100A8,S100A8,0.000488496,1.50141419,TRUE,S100A8,unique,no,unique
H. sapiens (HeLa),OG6_101934,abasic,ENSG00000177889;ENSG00000276380,hsap_UBE2N,UBE2N;UBE2NL,0.001086761,1.681631055,TRUE,UBE2N,repair,repair,not unique
H. sapiens (HeLa),OG6_106425,abasic,ENSG00000073050,hsap_XRCC1,XRCC1,7.77E-05,1.006169469,TRUE,XRCC1,repair,repair,unique
H. sapiens (HeLa),OG6_109686,RNAbase,ENSG00000153207,hsap_AHCTF1,AHCTF1,1.03E-05,1.127625223,TRUE,AHCTF1,no,no,not unique
H. sapiens (HeLa),OG6_105787,RNAbase,ENSG00000166582,hsap_CENPV,CENPV,1.29E-05,1.120546504,TRUE,CENPV,no,no,not unique
H. sapiens (HeLa),OG6_102222,RNAbase,ENSG00000173575,hsap_CHD1,CHD2,1.59E-05,1.129490801,TRUE,CHD2,no,no,not unique
H. sapiens (HeLa),OG6_102557,RNAbase,ENSG00000114416;ENSG00000129245;ENSG00000102081,hsap_FMR1,FXR1;FXR2;FMR1,0.031874871,1.452360517,TRUE,FXR1,unique,no,unique
H. sapiens (HeLa),OG6_107563,RNAbase,ENSG00000083168,hsap_KAT6A,KAT6A,0.01110415,1.072941669,TRUE,KAT6A,unique,no,unique
H. sapiens (HeLa),OG6_117582,RNAbase,ENSG00000169057,hsap_MECP2,MECP2,0.002243899,1.060103741,TRUE,MECP2,unique,no,unique
H. sapiens (HeLa),OG6_104748,RNAbase,ENSG00000103152,hsap_MPG,MPG,4.45E-05,1.821509445,TRUE,MPG,repair,repair,not unique
H. sapiens (HeLa),OG6_112776,RNAbase,ENSG00000115289,hsap_PCGF1,PCGF1,0.000830074,1.613300505,TRUE,PCGF1,unique,no,unique
H. sapiens (HeLa),OG6_115278,RNAbase,ENSG00000136715,hsap_SAP130,SAP130,0.015393128,3.057458654,TRUE,SAP130,unique,no,unique
H. sapiens (HeLa),OG6_107217,RNAbase,ENSG00000015171,hsap_ZMYND11,ZMYND11,7.49E-05,1.088464326,TRUE,ZMYND11,no,no,not unique
H. sapiens (HeLa),OG6_119273,RNAbase,ENSG00000196700,hsap_ZNF512B,ZNF512B,1.38E-05,1.224558312,TRUE,ZNF512B,unique,no,unique
S. cerevisiae,OG6_104339,8oxoG,YKL114C,scer_APN1,APN1,0.001884508,1.093805707,TRUE,APN1,repair,repair,not unique
S. cerevisiae,OG6_127204,8oxoG,YIL130W,scer_ASG1,ASG1,0.002230084,1.032105168,TRUE,ASG1,no,no,not unique
S. cerevisiae,OG6_100101,8oxoG,YAL029C,hsap_MYO15A,MYO4,0.022087883,1.255440847,TRUE,MYO4,no,no,not unique
S. cerevisiae,OG6_500850,8oxoG,YGL151W,scer_NUT1,NUT1,0.049990947,2.391260761,TRUE,NUT1,unique,no,unique
